example_id                                                 | status  | run_time        |
---------------------------------------------------------- | ------- | --------------- |
./spec/controllers/static_pages_controller_spec.rb[1:1:1]  | passed  | 0.01619 seconds |
./spec/controllers/static_pages_controller_spec.rb[1:2:1]  | passed  | 0.00445 seconds |
./spec/controllers/static_pages_controller_spec.rb[1:3:1]  | passed  | 0.0046 seconds  |
./spec/features/visiting_about_page_feature_spec.rb[1:1]   | passed  | 0.13841 seconds |
./spec/features/visiting_contact_page_feature_spec.rb[1:1] | passed  | 0.00574 seconds |
./spec/features/visiting_homepage_feature_spec.rb[1:1]     | passed  | 0.00556 seconds |
./spec/models/challenge_spec.rb[1:1]                       | pending | 0.00001 seconds |
./spec/models/course_spec.rb[1:1]                          | pending | 0.00001 seconds |
./spec/models/review_spec.rb[1:1]                          | pending | 0.00001 seconds |
./spec/models/user_spec.rb[1:1]                            | pending | 0.00001 seconds |
